head_a,head_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
linear,mlp,-0.07017022371292114,-0.07903893291950226,-0.062022538483142854,0.0,1.0,True,-0.07598096132278442,-0.08879363089799881,-0.06307666748762131,0.0,1.0,True
linear,cnn,-0.08136886358261108,-0.09195363372564316,-0.07108415067195893,0.0,1.0,True,-0.08983486890792847,-0.1039379045367241,-0.07647615373134614,0.0,1.0,True
linear,gru,-0.08552151918411255,-0.09694475382566452,-0.07385437786579133,0.0,1.0,True,-0.09492617845535278,-0.11086925566196441,-0.07925535142421723,0.0,1.0,True
linear,attention,-0.1019906997680664,-0.1152303621172905,-0.08895436823368072,0.0,1.0,True,-0.11395269632339478,-0.13082871288061143,-0.09692693203687668,0.0,1.0,True
linear,attention_pe,-0.09790140390396118,-0.11130420714616776,-0.08473142087459565,0.0,1.0,True,-0.10207581520080566,-0.12041573524475098,-0.08431021869182587,0.0,1.0,True
mlp,cnn,-0.011198639869689941,-0.01706380248069763,-0.005113893747329713,0.0,1.0,True,-0.013853907585144043,-0.02193623036146164,-0.004564261436462403,0.0015,0.9985,True
mlp,gru,-0.015351295471191406,-0.023495429754257204,-0.0070230394601821945,0.0,1.0,True,-0.01894521713256836,-0.029995962977409363,-0.007833279669284827,0.0,1.0,True
mlp,attention,-0.031820476055145264,-0.0414446160197258,-0.022333307564258578,0.0,1.0,True,-0.03797173500061035,-0.049998138844966886,-0.026097366213798524,0.0,1.0,True
mlp,attention_pe,-0.02773118019104004,-0.03713369220495224,-0.017490050196647646,0.0,1.0,True,-0.02609485387802124,-0.03859598785638809,-0.012920562922954563,0.0,1.0,True
cnn,gru,-0.004152655601501465,-0.011869029700756073,0.0031185567378997753,0.142,0.858,False,-0.005091309547424316,-0.014613911509513855,0.004367722570896138,0.1585,0.8415,False
cnn,attention,-0.020621836185455322,-0.029915818572044374,-0.0116447851061821,0.0,1.0,True,-0.02411782741546631,-0.03496296852827072,-0.013199302554130559,0.0,1.0,True
cnn,attention_pe,-0.016532540321350098,-0.02682023197412491,-0.00605050474405289,0.0015,0.9985,True,-0.012240946292877197,-0.024778912961483,-0.00016121715307238426,0.025,0.975,True
gru,attention,-0.016469180583953857,-0.025228697061538696,-0.00783485770225527,0.0,1.0,True,-0.019026517868041992,-0.03078926056623459,-0.00834881365299225,0.0005,0.9995,True
gru,attention_pe,-0.012379884719848633,-0.02212635725736618,-0.0028444036841392666,0.0055,0.9945,True,-0.007149636745452881,-0.01906660944223404,0.004985648393630979,0.1105,0.8895,False
attention,attention_pe,0.004089295864105225,-0.004465141892433166,0.012630479037761676,0.8325,0.167,False,0.011876881122589111,0.002158056199550629,0.022618168592453,0.9895,0.0105,True
