head_a,head_b,causal_roc_auc_diff,causal_roc_auc_diff_ci_low,causal_roc_auc_diff_ci_high,causal_roc_auc_prob_a_better,causal_roc_auc_prob_a_worse,causal_roc_auc_significant,causal_roc_auc_p_value,causal_roc_auc_p_holm,causal_roc_auc_significant_holm
linear,mlp,-0.07017022371292114,-0.07903881520032882,-0.062022541463375096,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
linear,cnn,-0.019356369972229004,-0.03044387549161911,-0.00815571546554566,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
linear,gru,-0.06489789485931396,-0.07534757554531098,-0.05470800250768662,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
linear,attention,-0.05790966749191284,-0.06955446898937226,-0.047169870138168334,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
linear,attention_pe,-0.07590740919113159,-0.08936634808778762,-0.06287172287702561,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
mlp,cnn,0.05081385374069214,0.04278378188610077,0.059404736757278434,1.0,0.0,True,0.0009995002498750624,0.014992503748125937,True
mlp,gru,0.005272328853607178,-0.001943683624267578,0.012820078432559967,0.9225,0.0775,False,0.15592203898050974,0.416791604197901,False
mlp,attention,0.0122605562210083,0.004211196303367614,0.020774875581264493,0.9985,0.0015,True,0.00399800099950025,0.019990004997501247,True
mlp,attention_pe,-0.005737185478210449,-0.015268690884113312,0.004001533985137939,0.1335,0.8665,False,0.26786606696651677,0.416791604197901,False
cnn,gru,-0.04554152488708496,-0.05506894439458847,-0.03663005828857422,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
cnn,attention,-0.03855329751968384,-0.048845109343528745,-0.02892249971628191,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
cnn,attention_pe,-0.05655103921890259,-0.06937538385391236,-0.04459946900606157,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
gru,attention,0.006988227367401123,-0.001562395691871643,0.01627117246389387,0.931,0.069,False,0.13893053473263367,0.416791604197901,False
gru,attention_pe,-0.011009514331817627,-0.020599393546581267,-0.00142519026994707,0.011,0.989,True,0.022988505747126436,0.09195402298850575,False
attention,attention_pe,-0.01799774169921875,-0.027163875102996827,-0.008823862671852114,0.0,1.0,True,0.0009995002498750624,0.014992503748125937,True
